codigo,clase,propiedad,superficie,instalado,numero_suc,elemento,localidad,provincia,coca,ipid,central,miga,estado,cedido_por,tipo,long x,latit y,id,valor,f_valor,icon_url
"5585356",D,tesa,ocupacion,2015/03/25,627SUCW09762015031800,arqueta,Salteras,Sevilla,,,,,3,,,,,"2226","5",2021/01/01,./0.png
CR35,BR,tesa,ocupacion,2015/03/25,627SUCW09762015031800,arqueta,Salteras,Sevilla,,,,,3,,,,,"2227","5",2021/01/01,./0.png
"5533062",D,tesa,ocupacion,2015/09/15,627SUCW72442015021700,arqueta,Valencina de la Concepción,Sevilla,,,,,3,,,,,"2234","5",2021/01/01,./0.png
SESEV0B2,,telvent,ocupacion,,,arqueta,Sevilla,Sevilla,,,,,3,,,,,"3235","3",2021/01/01,./0.png
SECAM026,A40,gtd,ocupacion,2012/06/21,N/A,arqueta,Camas,Sevilla,,,,,1,,,,,"642","3",2021/01/01,./0.png
POSTE 78,L110011 (8D),tesa,aereo,2001/01/01,627SUCW13382017030100,poste,Chiclana de la Frontera,Cadiz,,"7855639",San Andres/Golf,1111003,3,,,,,"579",,,./0.png
CR149,JP,tesa,ocupacion,2016/04/19,N/A,arqueta,Marbella,Malaga,,,,,3,,,,,"580",,,./0.png
CR9,gABP,tesa,ocupacion,2019/01/01,627SUCW46922018021400,arqueta,San Roque,Cadiz,,,,,3,,,,,"633",,,./0.png
CR7,gABP,tesa,ocupacion,2019/01/01,627SUCW46922018021400,arqueta,San Roque,Cadiz,,,,,3,,,,,"634",,,./0.png
CR13,gABP,tesa,ocupacion,2019/01/01,627SUCW46922018021400,arqueta,San Roque,Cadiz,,,,,3,,,,,"635",,,./0.png
CR0,GEN,tesa,ocupacion,,,arqueta,La Linea de la Concepcion,Cadiz,,,,,4,,,,,"640",,,./0.png
SESAL002,A1,gtd,ocupacion,2015/09/15,N/A,arqueta,Salteras,Sevilla,,,,,1,,,,,"641","5",2021/01/01,./0.png
CR3BIS,GEN,tesa,ocupacion,,,arqueta,La Linea de la Concepcion,Cadiz,,,,,4,,,,,"646",,,./0.png
CR122,gJP,tesa,ocupacion,,627SUCW44332018021300,arqueta,La Linea de la Concepcion,Cadiz,,,,,4,,,,,"648",,,./0.png
"7837697",D,tesa,ocupacion,,627SUCW44332018021300,arqueta,La Linea de la Concepcion,Cadiz,,,,,4,,,,,"652",,,./0.png
CR31,gBR,tesa,ocupacion,,627SUCW44332018021300,arqueta,La Linea de la Concepcion,Cadiz,,,,,4,,,,,"663",,,./0.png
CR30,gBR,tesa,ocupacion,,627SUCW44332018021300,arqueta,La Linea de la Concepcion,Cadiz,,,,,4,,,,,"664",,,./0.png
